*************Target variables in total: 40*************
Number of Fault Insertions: 478
Number of Faulty Executions: 401
,variable_name,max_risk_diff,quantile1,quantile2
30,sqrty_0,0.8120603015075377,5,0
18,cy_0,0.8,1,9
5,y2_0,0.7657657657657657,7,8
6,y_0,0.6296296296296297,7,6
0,y_2,0.62,5,0
27,z_0,0.5798994974874372,4,8
24,sy_0,0.4582914572864321,6,1
35,ampl_0,0.42814070351758793,3,6
39,seps_0,0.37785800240673884,9,7
19,s_0,0.2633165829145729,0,4
20,result_val_0,0.19698492462311556,0,8
31,result_val_2,0.14673366834170853,4,0
23,abs_sum_0,0.13366834170854272,6,2
25,d_5,0.09949748743718594,6,0
12,d_1,0.056056056056056056,1,0
11,d_4,0.024024024024024024,0,8
9,e_1,0.006006006006006006,1,0
17,dd_0,0.0,0,0
29,stat_cp_0,0.0,0,0
38,ceps_0,0.0,0,0
37,e2_0,0.0,0,0
36,stat_ca_0,0.0,0,0
2,result_err_7,0.0,0,0
34,result_err_8,0.0,0,0
33,result_err_9,0.0,0,0
32,result_err_10,0.0,0,0
13,d_0,0.0,0,0
3,fn_1,0.0,0,0
28,stat_ct_0,0.0,0,0
8,e_4,0.0,0,0
4,status_0,0.0,0,0
26,seps_1,0.0,0,0
14,temp_3,0.0,0,0
10,e_0,0.0,0,0
15,temp_0,0.0,0,0
22,ceps_1,0.0,0,0
21,result_err_1,0.0,0,0
1,result_val_1,0.0,0,0
16,dd_1,0.0,0,0
7,result_err_0,0.0,0,0
